label,family,delta,Kc_theory,Kc_numeric
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.2856778394972173
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.36820699312974675
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.4507361467622762
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5332653003948057
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.615794454027335
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6983236076598646
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.7808527612923939
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8633819149249233
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9459110685574528
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.0284402221899824
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.1109693758225117
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.1934985294550413
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.2760276830875708
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3585568367201
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.716842105263158,1.433684210526316,1.4410859903526296
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7578947368421052,1.5157894736842104,1.5236151439851588
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7989473684210526,1.5978947368421053,1.6061442976176883
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.84,1.68,1.6886734512502177
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.11915167431799366
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.20067650411451565
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.28220133391103763
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.3637261637075596
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.4452509935040816
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5267758233006037
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6083006530971256
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6898254828936476
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.7713503126901695
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8528751424866915
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9343999722832135
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.0159248020797356
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.0974496318762574
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.1789744616727795
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.2604992914693016
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3420241212658233
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.716842105263158,1.433684210526316,1.4235489510623456
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7578947368421052,1.5157894736842104,1.5050737808588672
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7989473684210526,1.5978947368421053,1.5865986106553893
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.84,1.68,1.6681234404519112
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.1198263209774114
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.2018127511198508
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.2837991812622902
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.3657856114047296
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.44777204154716893
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5297584716896084
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6117449018320478
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6937313319744872
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.7757177621169266
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8577041922593658
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9396906224018052
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.021677052544245
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.103663482686684
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.1856499128291236
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.2676363429715631
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3496227731140022
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.716842105263158,1.433684210526316,1.4316092032564418
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7578947368421052,1.5157894736842104,1.513595633398881
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7989473684210526,1.5978947368421053,1.5955820635413205
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.84,1.68,1.6775684936837596
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.11984721127026453
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.20184793477097182
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.28384865827167916
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.36584938177238646
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.44785010527309377
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5298508287738011
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6118515522745084
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6938522757752157
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.775852999275923
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8578537227766303
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9398544462773376
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.0218551697780451
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.103855893278752
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.1858566167794595
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.2678573402801672
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3498580637808741
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.716842105263158,1.433684210526316,1.4318587872815816
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7578947368421052,1.5157894736842104,1.5138595107822885
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7989473684210526,1.5978947368421053,1.5958602342829962
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.84,1.68,1.6778609577837034
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.11918761702998434
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.2007370392083947
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.282286461386805
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.3638358835652154
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.4453853057436257
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5269347279220361
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6084841501004464
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6900335722788569
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.7715829944572671
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8531324166356774
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9346818388140878
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.0162312609924984
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.0977806831709083
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.1793301053493188
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.2608795275277294
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3424289497061395
