label,family,topology_class,real_dimension,chi,sample,defect_count,index_sum,gamma_indexed_sum,remainder,lambda3,lambda5,width_theory,width_numerical,discontinuous
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,0,3,3.0,1.0604898083925123,0.00023057006671437134,-1.0602592383257978,1.324786749345369,0.21213785030132,0.21208967542190557,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,1,3,3.0,1.111566934094775,-0.0006833470182440328,-1.112250281113019,1.2972745929829217,0.23840378408079174,0.23828493842796838,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,2,3,3.0,1.0456540606257891,0.0016228668671869428,-1.0440311937586022,1.2418350855385258,0.21943355165157247,0.21918989575823286,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,3,3,3.0,1.1368614467953932,0.00041617470953589266,-1.1364452720858573,0.9898548771427007,0.3261861628076088,0.32577383704717877,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,4,3,3.0,1.3394999965299956,0.000824048140778544,-1.338675948389217,1.354691485885824,0.3307124377518246,0.3304085232394183,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,5,3,3.0,1.0298748864755654,-0.000359471444497662,-1.030234357920063,1.1027688858199824,0.2406176955767471,0.24046342250539177,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,6,3,3.0,0.9715462876845349,9.859470597664032e-05,-0.9714476929785583,1.2204835621795813,0.1933067042926929,0.19314280665260064,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,7,3,3.0,1.1823216246884258,-0.0016926204957387267,-1.1840142451841646,1.0827499151282223,0.3236873337997472,0.32335779462906944,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,8,3,3.0,1.1708663210178836,-8.21373026784482e-06,-1.1708745347481515,0.9650699564217231,0.3551419166556808,0.3548659623929368,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,9,3,3.0,1.3708025670814226,0.0002771861733145618,-1.370525380908108,0.8928833284171017,0.5259197254369236,0.5249505870367218,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,10,3,3.0,1.1384665712218824,0.0016167590145422552,-1.1368498122073403,0.7973627582087792,0.4052194193328061,0.4050507701365982,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,11,3,3.0,0.9933163180128386,0.0009353352381579027,-0.9923809827746807,1.1256459239381886,0.21872331121835953,0.21861948774634668,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,12,3,3.0,1.143886614431588,-0.0007666705763322495,-1.1446532850079203,0.8995212114991813,0.3641468166981117,0.36371061027433293,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,13,3,3.0,1.1976037149757122,0.0017999285681217535,-1.1958037864075903,0.9097905189120146,0.39293295155920926,0.3923881454199783,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,14,3,3.0,1.2856109742326307,-0.002834229620077319,-1.288445203852708,1.1762895371470357,0.3528236439468423,0.3523963270975033,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,15,3,3.0,1.1166383483668465,-0.0020705108569791042,-1.1187088592238257,1.1991410746770632,0.26091790576911755,0.26068003623454017,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,16,3,3.0,1.0527512305575812,0.0001945405093736384,-1.0525566900482075,1.4275750706018207,0.1940135423663207,0.19386174308635246,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,17,3,3.0,0.9024802259016527,-0.0010807031215618176,-0.9035609290232145,1.0039881912556625,0.20329480953262402,0.203037836358503,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,18,3,3.0,1.1019477153068507,-0.001004182323511324,-1.102951897630362,1.69223416338364,0.1797184625521929,0.17961983353157496,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,19,3,3.0,1.2615519105634092,-0.004089037860137709,-1.265640948423547,1.2315863135938936,0.32515930727829045,0.32501130726666194,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,20,3,3.0,1.1200973681452482,-0.0017701310909850419,-1.1218674992362332,1.1268064297701101,0.2792375541598869,0.27905540336654483,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,21,3,3.0,1.2045793412066133,0.00031609096994199715,-1.2042632502366712,1.39254656325904,0.2603593327027618,0.2602953632397583,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,22,3,3.0,1.136627007160635,0.0009247513325142295,-1.135702255828121,0.9780515758788867,0.3296911036450297,0.3292134943072763,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,23,3,3.0,1.2009105880951214,-6.101565728178964e-05,-1.2009716037524032,1.5101373061619219,0.23877510792137327,0.23853183532098857,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,24,3,3.0,1.3962892469981338,-0.003563831466649808,-1.3998530784647836,0.8447279894844022,0.5799466413097689,0.5793268895063196,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,25,3,3.0,1.18394177090802,0.0018225015089455468,-1.1821192693990745,1.2317965073409802,0.2836113673720984,0.28348614499224895,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,26,3,3.0,1.0841105957895123,-0.0022352408754204925,-1.0863458366649328,1.0091573101390454,0.2923595917559741,0.2919916211942226,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,27,3,3.0,0.9939712259850885,3.844778718133832e-05,-0.9939327781979072,1.3952318457993511,0.1770140157262223,0.17691775710353674,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,28,3,3.0,1.0233373435250055,-0.0009137293265449017,-1.0242510728515504,0.8475801323563918,0.3094368957543087,0.3091607334975824,True
