ambient_dimension,manifold_dimension,Manifold dimension,N,seed,kappa_sample,kappa_theory,kappa_ratio,N_inv_sqrt
2,1,D = 1,128,0,0.4381686700485688,0.5,0.8763373400971376,0.08838834764831843
2,1,D = 1,128,1,0.5144806561777018,0.5,1.0289613123554036,0.08838834764831843
2,1,D = 1,128,2,0.5376873389913134,0.5,1.0753746779826268,0.08838834764831843
2,1,D = 1,128,3,0.41850796656549144,0.5,0.8370159331309829,0.08838834764831843
2,1,D = 1,128,4,0.4612985152564339,0.5,0.9225970305128678,0.08838834764831843
2,1,D = 1,128,5,0.5020421702674385,0.5,1.004084340534877,0.08838834764831843
2,1,D = 1,128,6,0.5015923448305121,0.5,1.0031846896610241,0.08838834764831843
2,1,D = 1,128,7,0.5079001842697859,0.5,1.0158003685395718,0.08838834764831843
2,1,D = 1,128,8,0.5163325672393758,0.5,1.0326651344787516,0.08838834764831843
2,1,D = 1,128,9,0.5073957483515248,0.5,1.0147914967030496,0.08838834764831843
2,1,D = 1,128,10,0.4765096974573734,0.5,0.9530193949147469,0.08838834764831843
2,1,D = 1,128,11,0.5197024325789585,0.5,1.039404865157917,0.08838834764831843
2,1,D = 1,128,12,0.5459802648123723,0.5,1.0919605296247445,0.08838834764831843
2,1,D = 1,128,13,0.5403019050372384,0.5,1.0806038100744768,0.08838834764831843
2,1,D = 1,128,14,0.5333850071972794,0.5,1.0667700143945589,0.08838834764831843
2,1,D = 1,128,15,0.5432860755855726,0.5,1.0865721511711453,0.08838834764831843
2,1,D = 1,128,16,0.45810800680785263,0.5,0.9162160136157053,0.08838834764831843
2,1,D = 1,128,17,0.523025016229231,0.5,1.046050032458462,0.08838834764831843
2,1,D = 1,128,18,0.49418409096658567,0.5,0.9883681819331713,0.08838834764831843
2,1,D = 1,128,19,0.5130843134043463,0.5,1.0261686268086927,0.08838834764831843
2,1,D = 1,128,20,0.4996838478397919,0.5,0.9993676956795838,0.08838834764831843
2,1,D = 1,128,21,0.5526891392258595,0.5,1.105378278451719,0.08838834764831843
2,1,D = 1,128,22,0.4650930059220433,0.5,0.9301860118440866,0.08838834764831843
2,1,D = 1,128,23,0.47418862567304665,0.5,0.9483772513460933,0.08838834764831843
2,1,D = 1,128,24,0.47875296121654254,0.5,0.9575059224330851,0.08838834764831843
2,1,D = 1,128,25,0.468985101081599,0.5,0.937970202163198,0.08838834764831843
2,1,D = 1,128,26,0.4862170159641026,0.5,0.9724340319282052,0.08838834764831843
2,1,D = 1,128,27,0.5071873345573168,0.5,1.0143746691146336,0.08838834764831843
2,1,D = 1,128,28,0.48851472909361343,0.5,0.9770294581872269,0.08838834764831843
2,1,D = 1,128,29,0.5412717940183609,0.5,1.0825435880367218,0.08838834764831843
2,1,D = 1,256,0,0.5047356127776157,0.5,1.0094712255552314,0.0625
2,1,D = 1,256,1,0.49129442136026213,0.5,0.9825888427205243,0.0625
2,1,D = 1,256,2,0.4944586782075634,0.5,0.9889173564151268,0.0625
2,1,D = 1,256,3,0.5001894637244446,0.5,1.0003789274488892,0.0625
2,1,D = 1,256,4,0.5456609816887956,0.5,1.0913219633775912,0.0625
2,1,D = 1,256,5,0.4886090561635118,0.5,0.9772181123270236,0.0625
2,1,D = 1,256,6,0.4796635679196354,0.5,0.9593271358392708,0.0625
2,1,D = 1,256,7,0.4883833544329248,0.5,0.9767667088658496,0.0625
2,1,D = 1,256,8,0.5069759808733278,0.5,1.0139519617466557,0.0625
2,1,D = 1,256,9,0.4936002848323371,0.5,0.9872005696646742,0.0625
2,1,D = 1,256,10,0.49340993548392875,0.5,0.9868198709678575,0.0625
2,1,D = 1,256,11,0.5087885498493055,0.5,1.017577099698611,0.0625
