family,manifold,dimension,chi_theory,sample,status,defect_count,index_sum,gamma_indexed_sum,remainder,sign_condition,lambda3,lambda5,lambda7,rho,width_theory,width_numerical,discontinuous
Sphere,$S^1$,1,0.0,0,$\chi(M)=0$,2,0.0,0.19812091836121193,0.15070619371352814,False,-0.04741472464768379,1.192062028333092,0.03127605679392697,0.034448778237734345,0.0004714847172339176,0.00047089395359116714,True
Sphere,$S^1$,1,0.0,1,$\chi(M)=0$,2,0.0,-0.16322038994746169,-0.04185244960709358,False,0.1213679403403681,1.1867234338801003,0.009676756564578377,0.0034820666115109723,0.0,0.0,False
Sphere,$S^1$,1,0.0,2,$\chi(M)=0$,2,0.0,-0.2082842175412718,0.047243819855339465,False,0.2555280373966113,0.9101915943197432,0.026136976488049576,0.013006644313796252,0.0,0.0,False
Sphere,$S^1$,1,0.0,3,$\chi(M)=0$,2,0.0,0.2427523566343932,-0.10819630063066653,False,-0.35094865726505975,1.1008067940717907,0.008942327050180693,0.03204710580203765,0.027971520683609623,0.027793874888447572,True
Sphere,$S^1$,1,0.0,4,$\chi(M)=0$,2,0.0,-0.03876652021437732,0.09080825193092378,False,0.1295747721453011,1.2030293765756843,0.017165376151522353,0.004413863838537772,0.0,0.0,False
Sphere,$S^1$,1,0.0,5,$\chi(M)=0$,2,0.0,-0.14804384443709884,0.13628703157339517,False,0.284330876010494,1.094946234961033,0.009237617098168008,0.013414963111857463,0.0,0.0,False
Sphere,$S^1$,1,0.0,6,$\chi(M)=0$,2,0.0,-0.23713121136902127,0.153466616660248,False,0.39059782802926923,1.0596372841071209,0.030542282185392986,0.02740534324975224,0.0,0.0,False
Sphere,$S^1$,1,0.0,7,$\chi(M)=0$,2,0.0,0.0739314318464333,-0.046469938237688684,False,-0.120401370084122,0.8569935810567345,0.006670536224158891,0.010851316061919589,0.0042288793751111,0.0042233344846411254,True
Sphere,$S^1$,1,0.0,8,$\chi(M)=0$,2,0.0,-0.16448421649196748,0.008896862225538198,False,0.1733810787175057,1.4235516444220433,0.015400030960755606,0.033289690769230836,0.0,0.0,False
Sphere,$S^1$,1,0.0,9,$\chi(M)=0$,2,0.0,0.07580980967234296,0.10273188780668754,False,0.035,1.126694650901529,0.023398707668128987,0.015677228602352378,0.0,0.0,False
Sphere,$S^1$,1,0.0,10,$\chi(M)=0$,2,0.0,-0.13358449808737471,0.13925873724128637,False,0.27284323532866106,1.2341725110750361,0.03471016209261083,0.0206844836704415,0.0,0.0,False
Sphere,$S^1$,1,0.0,11,$\chi(M)=0$,2,0.0,-0.014206240110457347,0.08085402871663962,False,0.09506026882709696,1.004977241814991,0.008134388643310304,0.024364520106012453,0.0,0.0,False
Sphere,$S^1$,1,0.0,12,$\chi(M)=0$,2,0.0,-0.030093662742630922,0.09409674688005956,False,0.12419040962269048,1.2847349284257688,0.0070769826632706735,0.025607843626168796,0.0,0.0,False
Sphere,$S^1$,1,0.0,13,$\chi(M)=0$,2,0.0,0.2032815226562638,0.09588470172770786,False,-0.10739682092855596,1.2273046029616161,0.011825094337566393,0.026670761864872692,0.002349473210995739,0.002345748067683969,True
Sphere,$S^1$,1,0.0,14,$\chi(M)=0$,2,0.0,-0.19346544250841297,-0.2286210437825599,False,-0.035155601274146936,1.0647157413518813,0.005603998141179847,0.011063848412860327,0.0002901986541913866,0.00029009191804257926,True
Sphere,$S^1$,1,0.0,15,$\chi(M)=0$,2,0.0,-0.023776322158272745,-0.01089343099716159,False,0.035,0.9089773340434829,0.027891434328051808,0.009254581154635223,0.0,0.0,False
Sphere,$S^1$,1,0.0,16,$\chi(M)=0$,2,0.0,-0.12283257845060147,0.025395426478317242,False,0.14822800492891872,1.361302717687729,0.022446049170323577,0.024419250904445067,0.0,0.0,False
Sphere,$S^1$,1,0.0,17,$\chi(M)=0$,2,0.0,-0.255159191773018,-0.015970421914203833,False,0.23918876985881415,0.8817653399260295,0.03434895070962074,0.0069086772534232115,0.0,0.0,False
Sphere,$S^1$,1,0.0,18,$\chi(M)=0$,2,0.0,-0.13152890752053825,-0.10785785366028725,False,0.035,1.0088862384743298,0.02360733000167984,0.011539518451545166,0.0,0.0,False
Sphere,$S^1$,1,0.0,19,$\chi(M)=0$,2,0.0,-0.0643086567097404,0.1366330518149614,False,0.2009417085247018,1.0661575079929737,0.025975145984294616,0.024304128860543457,0.0,0.0,False
Sphere,$S^1$,1,0.0,20,$\chi(M)=0$,2,0.0,0.18740682491555516,0.06448232591401357,False,-0.12292449900154159,1.2387627367032192,0.02866346081508832,0.02042974284747909,0.003049500926826824,0.003042897148705622,True
Sphere,$S^1$,1,0.0,21,$\chi(M)=0$,2,0.0,0.5324504549630216,0.08105070896459765,False,-0.4513997459984239,1.8630584014098999,0.01178179360546239,0.01175539075731002,0.027342370283889333,0.027282645365290327,True
Sphere,$S^1$,1,0.0,22,$\chi(M)=0$,2,0.0,0.10766732040588978,0.016761054696353563,False,-0.09090626570953622,1.0691196822657103,0.029104010433445033,0.019614059971050965,0.0019324190926266536,0.0019285759387960178,True
Sphere,$S^1$,1,0.0,23,$\chi(M)=0$,2,0.0,-0.1609781221682947,-0.10319353478789224,False,0.05778458738040247,1.0045031196163954,0.021594415744846933,0.007679880098743044,0.0,0.0,False
Sphere,$S^1$,1,0.0,24,$\chi(M)=0$,2,0.0,0.27012033747632297,-0.2171462040127157,False,-0.4872665414890387,0.9331468443725333,0.013042519673131468,0.019506359437976958,0.06360967833908844,0.06306041987418742,True
Sphere,$S^1$,1,0.0,25,$\chi(M)=0$,2,0.0,-0.1421047664443335,-0.015151104854432669,False,0.12695366158990085,1.0905154277209066,0.018032557093439573,0.028168087766610343,0.0,0.0,False
Sphere,$S^1$,1,0.0,26,$\chi(M)=0$,2,0.0,0.1381699039117601,-0.2682170081764564,False,-0.4063869120882165,1.2341992558600108,0.013726892551233992,0.03128396618768457,0.03345292940594027,0.03322149707031902,True
Sphere,$S^1$,1,0.0,27,$\chi(M)=0$,2,0.0,0.39012051084353416,-0.12352289708743279,False,-0.513643407930967,0.848842186719779,0.011913800605038332,0.016504563260809995,0.07770276814659353,0.07699426891958804,True
Sphere,$S^1$,1,0.0,28,$\chi(M)=0$,2,0.0,-0.1663942757897477,-0.01542477914213812,False,0.15096949664760956,1.3192239317608585,0.013752303770960884,0.028825793884361052,0.0,0.0,False
Sphere,$S^1$,1,0.0,29,$\chi(M)=0$,2,0.0,-0.24216287843935125,0.36801239523393026,False,0.6101752736732815,1.1677654593742455,0.0092021301110418,0.020192519940512188,0.0,0.0,False
Sphere,$S^1$,1,0.0,30,$\chi(M)=0$,2,0.0,0.019700133960365296,0.05125084406373489,False,0.035,0.7680505379800736,0.017166976809164174,0.03287261451882284,0.0,0.0,False
Sphere,$S^1$,1,0.0,31,$\chi(M)=0$,2,0.0,-0.04680509661416199,0.0555332364556205,False,0.10233833306978249,1.069753046607886,0.029247146361059604,0.014448402059352118,0.0,0.0,False
Sphere,$S^1$,1,0.0,32,$\chi(M)=0$,2,0.0,0.2619678730692832,0.07223577732144411,False,-0.1897320957478391,0.9365619635307446,0.01289861243322114,0.024955911011986243,0.009609152826673989,0.009571656086343512,True
Sphere,$S^1$,1,0.0,33,$\chi(M)=0$,2,0.0,0.10972804291579541,-0.30728245801207194,False,-0.41701050092786734,0.9208481704273035,0.013586649037967769,0.02924869757036782,0.04721130026338018,0.04674718864717552,True
Sphere,$S^1$,1,0.0,34,$\chi(M)=0$,2,0.0,0.08177020460424622,0.014700247222775967,False,-0.06706995738147026,1.2198299512785988,0.030806771884584534,0.004131904472538412,0.000921927515068214,0.0009211652510872356,True
Sphere,$S^1$,1,0.0,35,$\chi(M)=0$,2,0.0,-0.012557375660727232,-0.01864451853294112,False,-0.035,1.1195692376707442,0.029273170585969312,0.001869267113908242,0.0002735427070478919,0.0002734204388267436,True
Sphere,$S^1$,1,0.0,36,$\chi(M)=0$,2,0.0,0.04829028424057191,-0.06760362322058673,False,-0.11589390746115864,1.0783259811055073,0.005686340744086749,0.009186696856246264,0.0031139465296119552,0.0031115286944444474,True
Sphere,$S^1$,1,0.0,37,$\chi(M)=0$,2,0.0,0.027361958802194386,0.006377256281111932,False,-0.035,1.347443153427669,0.00875142594260504,0.02778365317984704,0.0002272823155625909,0.00022718072308705391,True
Sphere,$S^1$,1,0.0,38,$\chi(M)=0$,2,0.0,-0.0023337216840809694,0.008350664340562787,False,0.035,1.063773511724071,0.02733795503499312,0.0322872450049299,0.0,0.0,False
Sphere,$S^1$,1,0.0,39,$\chi(M)=0$,2,0.0,0.2213219864585998,0.08226010129983824,False,-0.13906188515876156,1.6819677799269241,0.013727512927767065,0.00907748484949765,0.0028743427987587204,0.0028722950610611288,True
Sphere,$S^1$,1,0.0,40,$\chi(M)=0$,2,0.0,-0.28423386387381566,-0.03933482564185685,False,0.2448990382319588,1.050775795545315,0.015470189591558567,0.0007253387301311155,0.0,0.0,False
Sphere,$S^1$,1,0.0,41,$\chi(M)=0$,2,0.0,0.20159318483992061,-0.02212405666594034,False,-0.22371724150586095,0.8893856622689276,0.025548516920729847,0.027408130829007456,0.014068532434880326,0.013970237746258643,True
Sphere,$S^1$,1,0.0,42,$\chi(M)=0$,2,0.0,0.3812587402686203,0.22479001307715687,False,-0.1564687271914634,1.0798650458368166,0.01881930344987759,0.03475999139894751,0.005667944962961663,0.0056466080230355535,True
Sphere,$S^1$,1,0.0,43,$\chi(M)=0$,2,0.0,-0.2545067666254781,-0.11641653464731709,False,0.138090231978161,1.1390766211478203,0.0220466564496311,0.030604541424854442,0.0,0.0,False
Sphere,$S^1$,1,0.0,44,$\chi(M)=0$,2,0.0,-0.11568677309493036,-0.09288761403328491,False,0.035,1.240026990864547,0.033402904489190866,0.010433214057147255,0.0,0.0,False
Sphere,$S^1$,1,0.0,45,$\chi(M)=0$,2,0.0,0.01997247184972173,0.08956563790178365,False,0.06959316605206192,1.1937435408854122,0.01082513851586249,0.0030680772182563446,0.0,0.0,False
Sphere,$S^1$,1,0.0,46,$\chi(M)=0$,2,0.0,0.10619782933192007,-0.01615136905109929,False,-0.12234919838301936,1.0622947713981004,0.029302522572886774,0.02337069978344314,0.003522874899700884,0.0035125789799828797,True
Sphere,$S^1$,1,0.0,47,$\chi(M)=0$,2,0.0,-0.04282026991157173,-0.10202660942177552,False,-0.05920633951020379,1.0484573307614264,0.034051842782827656,0.006357872583575533,0.0008358448492252377,0.0008349083748319925,True
