family,manifold,dimension,zero_label,index,jacobian_det,chi_theory
Torus,$\mathbb{T}^6$,6,20,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,21,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,22,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,23,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,24,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,25,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,26,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,27,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,28,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,29,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,30,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,31,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,32,-1,-0.9999999999065506,0
Torus,$\mathbb{T}^6$,6,33,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,34,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,35,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,36,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,37,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,38,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,39,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,40,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,41,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,42,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,43,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,44,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,45,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,46,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,47,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,48,1,0.999999999913102,0
Torus,$\mathbb{T}^6$,6,49,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,50,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,51,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,52,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,53,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,54,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,55,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,56,-1,-0.9999999999196533,0
Torus,$\mathbb{T}^6$,6,57,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,58,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,59,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,60,1,0.9999999999262046,0
Torus,$\mathbb{T}^6$,6,61,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,62,-1,-0.9999999999327559,0
Torus,$\mathbb{T}^6$,6,63,1,0.9999999999393072,0
Sphere,$S^7$,7,north,-1,-0.99999999965,0
Sphere,$S^7$,7,south,1,0.99999999965,0
Torus,$\mathbb{T}^7$,7,0,1,0.9999999998833325,0
Torus,$\mathbb{T}^7$,7,1,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,2,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,3,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,4,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,5,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,6,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,7,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,8,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,9,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,10,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,11,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,12,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,13,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,14,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,15,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,16,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,17,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,18,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,19,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,20,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,21,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,22,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,23,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,24,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,25,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,26,-1,-0.9999999999029865,0
