case,case_plain,case_index,kind,dimension,chi,parameter,conditioned,role,delta,seed_index,seed,N,relax_steps,K_grid_size,conditioning_noise,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference,forward_R_lowK,backward_R_lowK,forward_R_highK,hysteresis_area
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,3,60572414,256,1800,121,,0.1271833760982064,0.11935323090008143,2.14951958476287,2.14951958476287,0.0683440331624236,0.07087024188178787,0.7625350546227296,0.07477353756617229
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,4,60582414,256,1800,121,,0.0830135378323589,0.08429529079422408,2.14951958476287,1.998127697764496,0.06248263279702974,0.07263778923414603,0.7604532684254286,0.06639398957750063
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,5,60592414,256,1800,121,,0.07903641523545668,0.08264741718084342,2.14951958476287,2.0724417046570762,0.07802994585846368,0.07306492839989104,0.7608054632155881,0.06744360273936842
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,6,60602414,256,1800,121,,0.16073987491603559,0.09849754308656955,2.14951958476287,2.14951958476287,0.053245217731233405,0.07137161269920726,0.7617677203589011,0.06518023128845932
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,7,60612414,256,1800,121,,0.1007646637023209,0.1126999742590779,2.229464131558613,2.0724417046570762,0.059835731028412366,0.06888349551510346,0.7614838362379607,0.07488279190590705
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,8,60622414,256,1800,121,,0.08638863170860775,0.10076342131068236,2.14951958476287,2.0724417046570762,0.0636230897506179,0.0720919142731554,0.7595103829072248,0.07091894582066531
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,9,60632414,256,1800,121,,0.10946324974094548,0.12108937104401435,2.0724417046570762,2.0724417046570762,0.07115936338285743,0.06996950857318433,0.76299939555685,0.06635550044045263
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,10,60642414,256,1800,121,,0.10286732492866363,0.0737896633221593,2.14951958476287,2.0724417046570762,0.06814337407010777,0.07561824800718887,0.7613420643117224,0.05917898402774429
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,11,60652414,256,1800,121,,0.1310245777653789,0.1428387911239413,2.229464131558613,2.14951958476287,0.0714578899441677,0.07125356487742247,0.760763201897707,0.08663812962126075
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,12,60662414,256,1800,121,,0.11151534511341266,0.09394088733725187,2.229464131558613,2.0724417046570762,0.06560572614777362,0.06958519970781096,0.7602128313491926,0.0688049340604279
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,13,60672414,256,1800,121,,0.10080515905796514,0.07404779179605278,2.14951958476287,2.0724417046570762,0.06816197786349873,0.07545821209871967,0.7614399353788425,0.06824877213902385
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,14,60682414,256,1800,121,,0.06444122417291367,0.07709171662107742,1.998127697764496,1.998127697764496,0.057161488688824286,0.07437647915320676,0.7614868320291354,0.0785069852366156
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,0,60627317,256,1800,121,0.1,0.12688084624809715,0.9137291213711852,0.08334566179756502,0.06,0.07514851973606684,0.9888776411072521,0.9992936794235301,0.024734166617467773
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,1,60637317,256,1800,121,0.1,0.12835779541987125,0.9111197889783424,0.08644543869982231,0.06,0.0819206306917196,0.9930404196700621,0.9992918428282587,0.020904297472204382
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,2,60647317,256,1800,121,0.1,0.13444676493238739,0.9213005810727175,0.08334566179756502,0.06,0.07228225347655975,0.9935828345492772,0.999305571930758,0.020407281523379617
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,3,60657317,256,1800,121,0.1,0.11195544749045216,0.9185154025854579,0.10004109013428009,0.06,0.06991133569636698,0.9884267382818249,0.9992483861314145,0.028980832282921577
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,4,60667317,256,1800,121,0.1,0.12366037697941712,0.9140228948346012,0.08966050194856166,0.06,0.07443734229001256,0.9884602371246137,0.9992769317129642,0.026373110989228496
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,5,60677317,256,1800,121,0.1,0.1020461183017054,0.9138589760094156,0.10004109013428009,0.06,0.07409073490450414,0.9879497109139197,0.9991595122715621,0.03033973524321374
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,6,60687317,256,1800,121,0.1,0.11615255597066487,0.9111924189340606,0.08966050194856166,0.06,0.08233257148725553,0.993524990421316,0.9992262633335228,0.023688658719796776
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,7,60697317,256,1800,121,0.1,0.10855611984714775,0.913761471137198,0.08966050194856166,0.06,0.07951880746435563,0.9932802786015537,0.9992289958606916,0.02527450232389429
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,8,60707317,256,1800,121,0.1,0.11349267166999999,0.933082505561341,0.10004109013428009,0.06,0.05538044677454816,0.9884629523358891,0.9993790037261099,0.031358493882080424
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,9,60717317,256,1800,121,0.1,0.1467124152437611,0.9363018933970624,0.08334566179756502,0.06,0.05662727213572308,0.9929291655327854,0.9992623471204074,0.020528325989833722
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,10,60727317,256,1800,121,0.1,0.1348304728425226,0.9089517099769296,0.08334566179756502,0.06,0.07942324687773548,0.9883749568546651,0.9992180295577171,0.022280338050540246
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,11,60737317,256,1800,121,0.1,0.11638320087065013,0.9268196364197921,0.09299513925290025,0.06,0.05886145126777357,0.9856810876875657,0.9993433225294829,0.03052319739157228
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,12,60747317,256,1800,121,0.1,0.10704041294847388,0.9195939400235921,0.09299513925290025,0.06,0.07399789455354915,0.9935918345771412,0.9992529357793116,0.025902856838853655
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,13,60757317,256,1800,121,0.1,0.10566155801319144,0.906862054848899,0.09299513925290025,0.06,0.08143157119179183,0.9882936260406908,0.9992736643554644,0.026701281238658253
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.35,14,60767317,256,1800,121,0.1,0.11080032505700044,0.9146055527477818,0.10376180041225572,0.06,0.07738015327314621,0.991985706020928,0.9993331708911608,0.02994963677757456
$\mathbb{CP}^{3}$,CP^3,3,projective,6,4,3,True,discontinuous test,0.5,0,60642317,256,1800,121,0.1,0.1646912918520128,0.8815154829551558,0.07469744543941254,0.06,0.10159572274365206,0.9831112056988078,0.9992996502610504,0.014736426421307954
