family,manifold,dimension,chi_theory,sample,status,defect_count,index_sum,gamma_indexed_sum,remainder,sign_condition,lambda3,lambda5,lambda7,rho,width_theory,width_numerical,discontinuous
Sphere,$S^1$,1,0.0,0,$\chi(M)=0$,2,0.0,0.19812091836121193,0.15070619371352814,False,-0.04741472464768379,1.192062028333092,0.03127605679392697,0.034448778237734345,0.0004714847172339176,0.00047089395359116714,True
Sphere,$S^1$,1,0.0,3,$\chi(M)=0$,2,0.0,0.2427523566343932,-0.10819630063066653,False,-0.35094865726505975,1.1008067940717907,0.008942327050180693,0.03204710580203765,0.027971520683609623,0.027793874888447572,True
Sphere,$S^1$,1,0.0,7,$\chi(M)=0$,2,0.0,0.0739314318464333,-0.046469938237688684,False,-0.120401370084122,0.8569935810567345,0.006670536224158891,0.010851316061919589,0.0042288793751111,0.0042233344846411254,True
Sphere,$S^1$,1,0.0,13,$\chi(M)=0$,2,0.0,0.2032815226562638,0.09588470172770786,False,-0.10739682092855596,1.2273046029616161,0.011825094337566393,0.026670761864872692,0.002349473210995739,0.002345748067683969,True
Sphere,$S^1$,1,0.0,14,$\chi(M)=0$,2,0.0,-0.19346544250841297,-0.2286210437825599,False,-0.035155601274146936,1.0647157413518813,0.005603998141179847,0.011063848412860327,0.0002901986541913866,0.00029009191804257926,True
Sphere,$S^1$,1,0.0,20,$\chi(M)=0$,2,0.0,0.18740682491555516,0.06448232591401357,False,-0.12292449900154159,1.2387627367032192,0.02866346081508832,0.02042974284747909,0.003049500926826824,0.003042897148705622,True
Sphere,$S^1$,1,0.0,21,$\chi(M)=0$,2,0.0,0.5324504549630216,0.08105070896459765,False,-0.4513997459984239,1.8630584014098999,0.01178179360546239,0.01175539075731002,0.027342370283889333,0.027282645365290327,True
Sphere,$S^1$,1,0.0,22,$\chi(M)=0$,2,0.0,0.10766732040588978,0.016761054696353563,False,-0.09090626570953622,1.0691196822657103,0.029104010433445033,0.019614059971050965,0.0019324190926266536,0.0019285759387960178,True
Sphere,$S^1$,1,0.0,24,$\chi(M)=0$,2,0.0,0.27012033747632297,-0.2171462040127157,False,-0.4872665414890387,0.9331468443725333,0.013042519673131468,0.019506359437976958,0.06360967833908844,0.06306041987418742,True
Sphere,$S^1$,1,0.0,26,$\chi(M)=0$,2,0.0,0.1381699039117601,-0.2682170081764564,False,-0.4063869120882165,1.2341992558600108,0.013726892551233992,0.03128396618768457,0.03345292940594027,0.03322149707031902,True
Sphere,$S^1$,1,0.0,27,$\chi(M)=0$,2,0.0,0.39012051084353416,-0.12352289708743279,False,-0.513643407930967,0.848842186719779,0.011913800605038332,0.016504563260809995,0.07770276814659353,0.07699426891958804,True
Sphere,$S^1$,1,0.0,32,$\chi(M)=0$,2,0.0,0.2619678730692832,0.07223577732144411,False,-0.1897320957478391,0.9365619635307446,0.01289861243322114,0.024955911011986243,0.009609152826673989,0.009571656086343512,True
Sphere,$S^1$,1,0.0,33,$\chi(M)=0$,2,0.0,0.10972804291579541,-0.30728245801207194,False,-0.41701050092786734,0.9208481704273035,0.013586649037967769,0.02924869757036782,0.04721130026338018,0.04674718864717552,True
Sphere,$S^1$,1,0.0,34,$\chi(M)=0$,2,0.0,0.08177020460424622,0.014700247222775967,False,-0.06706995738147026,1.2198299512785988,0.030806771884584534,0.004131904472538412,0.000921927515068214,0.0009211652510872356,True
Sphere,$S^1$,1,0.0,35,$\chi(M)=0$,2,0.0,-0.012557375660727232,-0.01864451853294112,False,-0.035,1.1195692376707442,0.029273170585969312,0.001869267113908242,0.0002735427070478919,0.0002734204388267436,True
