label,family,n,k,m,real_dimension,ambient_dimension,chi,kappa_theory,replicate,kappa_numeric,kappa_ratio
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,10,0.4049499135075105,1.0123747837687762
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,11,0.39534289154907054,0.9883572288726763
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,12,0.39721565791132807,0.9930391447783201
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,13,0.4043644140357942,1.0109110350894854
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,14,0.40493637298409046,1.0123409324602262
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,15,0.40263891886475583,1.0065972971618895
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,16,0.4001280938628269,1.0003202346570672
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,17,0.3956219452425066,0.9890548631062664
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,18,0.39689302909008767,0.9922325727252191
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,19,0.3986484835996452,0.996621208999113
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,20,0.39406437511638087,0.9851609377909522
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,21,0.4011084985641439,1.0027712464103595
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,22,0.40422355496104023,1.0105588874026006
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,23,0.39978297216107767,0.9994574304026941
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,24,0.4017924870653119,1.0044812176632796
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,25,0.4010273464588239,1.0025683661470597
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,26,0.3953133451073578,0.9882833627683946
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,27,0.4038983848472236,1.009745962118059
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,28,0.4029451816101336,1.007362954025334
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,29,0.39946100475808644,0.9986525118952161
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,30,0.3967831119912772,0.9919577799781929
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,31,0.39911900867752026,0.9977975216938006
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,32,0.40172087514970933,1.0043021878742733
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,33,0.39929455508515155,0.9982363877128788
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,34,0.4013023414242502,1.0032558535606255
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,35,0.40009651021199855,1.0002412755299963
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,0,0.33624859076667746,1.0087457723000324
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,1,0.3351253748847926,1.005376124654378
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,2,0.33656153093574764,1.009684592807243
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,3,0.33021399159182085,0.9906419747754626
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,4,0.32910601353616975,0.9873180406085093
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,5,0.3317552804398045,0.9952658413194135
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,6,0.3358365437421983,1.007509631226595
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,7,0.3391391902373919,1.0174175707121758
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,8,0.3335939464757622,1.0007818394272867
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,9,0.3228495749665778,0.9685487248997334
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,10,0.33150760815875274,0.9945228244762583
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,11,0.335297631183467,1.005892893550401
